rank,province,category,college
7886,北京,理科,东华大学
6222,北京,理科,东华大学
6913,北京,理科,东华大学
5546,北京,理科,东华大学
7728,北京,理科,东华大学
7334,北京,理科,东华大学
6913,北京,理科,东华大学
7072,北京,理科,东华大学
6486,北京,理科,东华大学
5415,北京,理科,东华大学
7886,北京,理科,东华大学
7334,北京,理科,东华大学
5546,北京,理科,东华大学
5806,北京,理科,东华大学
7334,北京,理科,东华大学
6779,北京,理科,东华大学
6352,北京,理科,东华大学
6779,北京,理科,东华大学
6779,北京,理科,东华大学
6069,北京,理科,东华大学
5938,北京,理科,东华大学
5546,北京,理科,东华大学
5546,北京,理科,东华大学
6779,北京,理科,东华大学
6913,北京,理科,东华大学
6913,北京,理科,东华大学
7200,北京,理科,东华大学
7072,北京,理科,东华大学
6486,北京,理科,东华大学
6222,北京,理科,东华大学
7072,北京,理科,东华大学
5546,北京,理科,东华大学
6222,北京,理科,东华大学
7473,北京,理科,东华大学
5938,北京,理科,东华大学
6222,北京,理科,东华大学
6779,北京,理科,东华大学
6913,北京,理科,东华大学
5938,北京,理科,东华大学
6779,北京,理科,东华大学
7473,北京,理科,东华大学
7604,北京,理科,东华大学
7200,北京,理科,东华大学
6222,北京,理科,东华大学
6069,北京,理科,东华大学
7473,北京,理科,东华大学
6486,北京,理科,东华大学
7886,北京,理科,东华大学
7334,北京,理科,东华大学
7886,北京,理科,东华大学
5546,北京,理科,东华大学
6779,北京,理科,东华大学
6779,北京,理科,东华大学
6630,北京,理科,东华大学
5938,北京,理科,东华大学
5415,北京,理科,东华大学
6779,北京,理科,东华大学
5806,北京,理科,东华大学
6486,北京,理科,东华大学
5415,北京,理科,东华大学
5546,北京,理科,东华大学
5689,北京,理科,东华大学
6352,北京,理科,东华大学
5806,北京,理科,东华大学
6913,北京,理科,东华大学
7072,北京,理科,东华大学
7334,北京,理科,东华大学
7200,北京,理科,东华大学
6913,北京,理科,东华大学
6222,北京,理科,东华大学
5415,北京,理科,东华大学
7473,北京,理科,东华大学
5938,北京,理科,东华大学
5689,北京,理科,东华大学
7604,北京,理科,东华大学
7728,北京,理科,东华大学
6913,北京,理科,东华大学
6222,北京,理科,东华大学
6352,北京,理科,东华大学
5689,北京,理科,东华大学
5546,北京,理科,东华大学
6779,北京,理科,东华大学
5689,北京,理科,东华大学
5938,北京,理科,东华大学
6486,北京,理科,东华大学
6222,北京,理科,东华大学
7604,北京,理科,东华大学
7728,北京,理科,东华大学
5415,北京,理科,东华大学
6486,北京,理科,东华大学
6352,北京,理科,东华大学
7200,北京,理科,东华大学
5689,北京,理科,东华大学
5938,北京,理科,东华大学
5689,北京,理科,东华大学
5689,北京,理科,东华大学
6913,北京,理科,东华大学
6913,北京,理科,东华大学
5689,北京,理科,东华大学
5601,天津,理科,东华大学
3914,天津,理科,东华大学
5601,天津,理科,东华大学
4092,天津,理科,东华大学
4380,天津,理科,东华大学
5293,天津,理科,东华大学
4538,天津,理科,东华大学
5098,天津,理科,东华大学
4639,天津,理科,东华大学
5396,天津,理科,东华大学
4010,天津,理科,东华大学
5696,天津,理科,东华大学
5696,天津,理科,东华大学
5020,天津,理科,东华大学
4380,天津,理科,东华大学
5396,天津,理科,东华大学
5186,天津,理科,东华大学
5494,天津,理科,东华大学
5396,天津,理科,东华大学
4271,天津,理科,东华大学
5098,天津,理科,东华大学
4010,天津,理科,东华大学
4538,天津,理科,东华大学
4538,天津,理科,东华大学
5601,天津,理科,东华大学
5494,天津,理科,东华大学
5494,天津,理科,东华大学
5098,天津,理科,东华大学
4092,天津,理科,东华大学
3914,天津,理科,东华大学
4010,天津,理科,东华大学
4817,天津,理科,东华大学
4380,天津,理科,东华大学
4175,天津,理科,东华大学
5601,天津,理科,东华大学
4092,天津,理科,东华大学
5020,天津,理科,东华大学
5098,天津,理科,东华大学
5601,天津,理科,东华大学
5293,天津,理科,东华大学
4468,天津,理科,东华大学
5293,天津,理科,东华大学
5396,天津,理科,东华大学
4175,天津,理科,东华大学
4538,天津,理科,东华大学
3914,天津,理科,东华大学
5696,天津,理科,东华大学
5601,天津,理科,东华大学
3914,天津,理科,东华大学
5696,天津,理科,东华大学
4271,天津,理科,东华大学
5601,天津,理科,东华大学
4928,天津,理科,东华大学
5293,天津,理科,东华大学
4538,天津,理科,东华大学
4010,天津,理科,东华大学
4468,天津,理科,东华大学
4723,天津,理科,东华大学
5020,天津,理科,东华大学
5186,天津,理科,东华大学
4092,天津,理科,东华大学
5494,天津,理科,东华大学
4928,天津,理科,东华大学
5098,天津,理科,东华大学
5396,天津,理科,东华大学
5396,天津,理科,东华大学
4271,天津,理科,东华大学
4468,天津,理科,东华大学
4271,天津,理科,东华大学
4468,天津,理科,东华大学
4723,天津,理科,东华大学
5020,天津,理科,东华大学
7600,河北,理科,东华大学
11030,河北,理科,东华大学
6122,河北,理科,东华大学
11316,河北,理科,东华大学
11030,河北,理科,东华大学
5739,河北,理科,东华大学
6510,河北,理科,东华大学
8334,河北,理科,东华大学
9874,河北,理科,东华大学
5739,河北,理科,东华大学
7140,河北,理科,东华大学
9083,河北,理科,东华大学
7600,河北,理科,东华大学
8074,河北,理科,东华大学
6510,河北,理科,东华大学
11030,河北,理科,东华大学
6324,河北,理科,东华大学
7600,河北,理科,东华大学
8334,河北,理科,东华大学
7600,河北,理科,东华大学
7383,河北,理科,东华大学
11316,河北,理科,东华大学
7383,河北,理科,东华大学
6510,河北,理科,东华大学
8591,河北,理科,东华大学
9347,河北,理科,东华大学
6324,河北,理科,东华大学
9083,河北,理科,东华大学
6324,河北,理科,东华大学
7831,河北,理科,东华大学
6122,河北,理科,东华大学
7831,河北,理科,东华大学
8835,河北,理科,东华大学
9874,河北,理科,东华大学
6940,河北,理科,东华大学
9083,河北,理科,东华大学
6940,河北,理科,东华大学
8074,河北,理科,东华大学
7140,河北,理科,东华大学
9083,河北,理科,东华大学
5739,河北,理科,东华大学
8591,河北,理科,东华大学
5739,河北,理科,东华大学
8835,河北,理科,东华大学
9874,河北,理科,东华大学
8591,河北,理科,东华大学
9608,河北,理科,东华大学
9874,河北,理科,东华大学
11316,河北,理科,东华大学
5922,河北,理科,东华大学
11030,河北,理科,东华大学
5922,河北,理科,东华大学
5922,河北,理科,东华大学
9874,河北,理科,东华大学
5922,河北,理科,东华大学
11316,河北,理科,东华大学
10146,河北,理科,东华大学
6122,河北,理科,东华大学
9347,河北,理科,东华大学
11316,河北,理科,东华大学
7140,河北,理科,东华大学
5739,河北,理科,东华大学
10440,河北,理科,东华大学
8835,河北,理科,东华大学
10716,河北,理科,东华大学
9874,河北,理科,东华大学
9347,河北,理科,东华大学
6702,河北,理科,东华大学
6940,河北,理科,东华大学
6702,河北,理科,东华大学
9874,河北,理科,东华大学
10716,河北,理科,东华大学
8074,河北,理科,东华大学
8334,河北,理科,东华大学
7831,河北,理科,东华大学
8334,河北,理科,东华大学
8591,河北,理科,东华大学
8591,河北,理科,东华大学
6122,河北,理科,东华大学
8334,河北,理科,东华大学
11030,河北,理科,东华大学
10716,河北,理科,东华大学
6940,河北,理科,东华大学
5922,河北,理科,东华大学
11030,河北,理科,东华大学
8074,河北,理科,东华大学
9874,河北,理科,东华大学
11030,河北,理科,东华大学
10440,河北,理科,东华大学
9347,河北,理科,东华大学
6122,河北,理科,东华大学
6702,河北,理科,东华大学
8074,河北,理科,东华大学
6122,河北,理科,东华大学
9608,河北,理科,东华大学
9874,河北,理科,东华大学
9347,河北,理科,东华大学
6940,河北,理科,东华大学
9608,河北,理科,东华大学
8835,河北,理科,东华大学
6510,河北,理科,东华大学
5922,河北,理科,东华大学
7383,河北,理科,东华大学
11030,河北,理科,东华大学
10146,河北,理科,东华大学
6940,河北,理科,东华大学
6510,河北,理科,东华大学
8835,河北,理科,东华大学
7831,河北,理科,东华大学
8074,河北,理科,东华大学
5739,河北,理科,东华大学
10146,河北,理科,东华大学
6122,河北,理科,东华大学
11316,河北,理科,东华大学
9874,河北,理科,东华大学
10440,河北,理科,东华大学
10716,河北,理科,东华大学
6324,河北,理科,东华大学
7600,河北,理科,东华大学
6510,河北,理科,东华大学
11316,河北,理科,东华大学
8835,河北,理科,东华大学
10440,河北,理科,东华大学
8835,河北,理科,东华大学
11030,河北,理科,东华大学
5739,河北,理科,东华大学
7600,河北,理科,东华大学
9083,河北,理科,东华大学
9083,河北,理科,东华大学
6940,河北,理科,东华大学
10716,河北,理科,东华大学
8591,河北,理科,东华大学
9347,河北,理科,东华大学
11316,河北,理科,东华大学
7140,河北,理科,东华大学
9874,河北,理科,东华大学
9083,河北,理科,东华大学
10440,河北,理科,东华大学
10440,河北,理科,东华大学
9083,河北,理科,东华大学
8334,河北,理科,东华大学
10440,河北,理科,东华大学
6510,河北,理科,东华大学
10440,河北,理科,东华大学
6702,河北,理科,东华大学
6940,河北,理科,东华大学
9347,河北,理科,东华大学
6122,河北,理科,东华大学
11316,河北,理科,东华大学
11316,河北,理科,东华大学
9083,河北,理科,东华大学
8835,河北,理科,东华大学
8591,河北,理科,东华大学
7383,河北,理科,东华大学
11030,河北,理科,东华大学
6122,河北,理科,东华大学
5739,河北,理科,东华大学
7831,河北,理科,东华大学
8074,河北,理科,东华大学
7140,河北,理科,东华大学
11030,河北,理科,东华大学
9347,河北,理科,东华大学
11030,河北,理科,东华大学
6940,河北,理科,东华大学
8334,河北,理科,东华大学
10146,河北,理科,东华大学
8074,河北,理科,东华大学
6940,河北,理科,东华大学
10716,河北,理科,东华大学
10716,河北,理科,东华大学
9347,河北,理科,东华大学
10440,河北,理科,东华大学
6122,河北,理科,东华大学
9874,河北,理科,东华大学
7831,河北,理科,东华大学
6324,河北,理科,东华大学
10716,河北,理科,东华大学
8334,河北,理科,东华大学
10440,河北,理科,东华大学
5739,河北,理科,东华大学
7140,河北,理科,东华大学
6702,河北,理科,东华大学
8074,河北,理科,东华大学
10440,河北,理科,东华大学
9347,河北,理科,东华大学
7600,河北,理科,东华大学
6940,河北,理科,东华大学
7383,河北,理科,东华大学
11316,河北,理科,东华大学
10146,河北,理科,东华大学
6324,河北,理科,东华大学
8835,河北,理科,东华大学
10716,河北,理科,东华大学
8074,河北,理科,东华大学
8835,河北,理科,东华大学
6702,河北,理科,东华大学
5739,河北,理科,东华大学
10716,河北,理科,东华大学
9608,河北,理科,东华大学
10440,河北,理科,东华大学
10716,河北,理科,东华大学
10716,河北,理科,东华大学
6940,河北,理科,东华大学
7600,河北,理科,东华大学
10440,河北,理科,东华大学
6510,河北,理科,东华大学
11030,河北,理科,东华大学
6702,河北,理科,东华大学
9874,河北,理科,东华大学
6510,河北,理科,东华大学
5739,河北,理科,东华大学
7140,河北,理科,东华大学
7831,河北,理科,东华大学
5922,河北,理科,东华大学
8591,河北,理科,东华大学
7140,河北,理科,东华大学
6940,河北,理科,东华大学
8074,河北,理科,东华大学
11030,河北,理科,东华大学
10716,河北,理科,东华大学
9347,河北,理科,东华大学
8591,河北,理科,东华大学
5739,河北,理科,东华大学
9874,河北,理科,东华大学
5489,山西,理科,东华大学
5661,山西,理科,东华大学
7468,山西,理科,东华大学
7090,山西,理科,东华大学
5970,山西,理科,东华大学
6153,山西,理科,东华大学
4532,山西,理科,东华大学
5323,山西,理科,东华大学
4379,山西,理科,东华大学
4680,山西,理科,东华大学
5489,山西,理科,东华大学
4379,山西,理科,东华大学
4231,山西,理科,东华大学
4836,山西,理科,东华大学
6523,山西,理科,东华大学
4680,山西,理科,东华大学
4379,山西,理科,东华大学
4836,山西,理科,东华大学
6330,山西,理科,东华大学
4379,山西,理科,东华大学
4231,山西,理科,东华大学
4379,山西,理科,东华大学
6523,山西,理科,东华大学
6905,山西,理科,东华大学
6713,山西,理科,东华大学
5489,山西,理科,东华大学
7277,山西,理科,东华大学
5489,山西,理科,东华大学
7090,山西,理科,东华大学
7468,山西,理科,东华大学
7277,山西,理科,东华大学
5489,山西,理科,东华大学
6713,山西,理科,东华大学
4379,山西,理科,东华大学
6330,山西,理科,东华大学
5147,山西,理科,东华大学
5147,山西,理科,东华大学
6905,山西,理科,东华大学
5970,山西,理科,东华大学
5661,山西,理科,东华大学
4975,山西,理科,东华大学
6330,山西,理科,东华大学
5661,山西,理科,东华大学
6153,山西,理科,东华大学
5970,山西,理科,东华大学
5816,山西,理科,东华大学
6713,山西,理科,东华大学
7277,山西,理科,东华大学
5489,山西,理科,东华大学
6153,山西,理科,东华大学
4836,山西,理科,东华大学
7277,山西,理科,东华大学
6523,山西,理科,东华大学
5147,山西,理科,东华大学
4836,山西,理科,东华大学
4975,山西,理科,东华大学
5816,山西,理科,东华大学
6523,山西,理科,东华大学
6523,山西,理科,东华大学
5323,山西,理科,东华大学
4231,山西,理科,东华大学
6523,山西,理科,东华大学
7090,山西,理科,东华大学
4836,山西,理科,东华大学
7090,山西,理科,东华大学
5489,山西,理科,东华大学
6713,山西,理科,东华大学
5489,山西,理科,东华大学
7277,山西,理科,东华大学
6713,山西,理科,东华大学
6905,山西,理科,东华大学
5661,山西,理科,东华大学
5661,山西,理科,东华大学
4231,山西,理科,东华大学
4680,山西,理科,东华大学
6905,山西,理科,东华大学
7090,山西,理科,东华大学
4975,山西,理科,东华大学
5816,山西,理科,东华大学
7090,山西,理科,东华大学
5661,山西,理科,东华大学
6905,山西,理科,东华大学
4975,山西,理科,东华大学
6713,山西,理科,东华大学
4680,山西,理科,东华大学
6153,山西,理科,东华大学
4231,山西,理科,东华大学
5816,山西,理科,东华大学
4680,山西,理科,东华大学
6330,山西,理科,东华大学
7090,山西,理科,东华大学
5147,山西,理科,东华大学
4532,山西,理科,东华大学
5816,山西,理科,东华大学
7468,山西,理科,东华大学
7468,山西,理科,东华大学
5970,山西,理科,东华大学
5661,山西,理科,东华大学
5661,山西,理科,东华大学
4680,山西,理科,东华大学
6330,山西,理科,东华大学
5970,山西,理科,东华大学
7468,山西,理科,东华大学
4379,山西,理科,东华大学
4379,山西,理科,东华大学
4836,山西,理科,东华大学
6330,山西,理科,东华大学
4379,山西,理科,东华大学
7277,山西,理科,东华大学
7468,山西,理科,东华大学
6713,山西,理科,东华大学
5147,山西,理科,东华大学
4379,山西,理科,东华大学
