provinceID,province,collegeName,985,211,top,collegeID
25,北京,北京大学,1,1,1,10001
25,北京,中国人民大学,1,1,1,10002
25,北京,清华大学,1,1,1,10003
25,北京,北京交通大学,1,1,0,10004
25,北京,北京航空航天大学,1,1,1,10006
25,北京,北京理工大学,1,1,1,10007
25,北京,北京科技大学,1,1,1,10008
25,北京,北方工业大学,0,0,0,10009
25,北京,北京化工大学,1,1,1,10010
25,北京,北京工商大学,0,0,0,10011
25,北京,北京邮电大学,0,1,1,10013
25,北京,北京林业大学,0,1,1,10022
25,北京,北京师范大学,1,1,1,10027
25,北京,首都师范大学,0,0,1,10028
25,北京,北京外国语大学,0,1,1,10030
25,北京,中国传媒大学,0,1,1,10033
25,北京,北京体育大学,0,1,1,10043
25,北京,华北电力大学,0,1,1,10054
10,山西,太原理工大学,0,1,1,10112
34,内蒙古,内蒙古大学,0,1,1,10126
18,辽宁,辽宁大学,0,1,1,10140
18,辽宁,大连理工大学,1,1,1,10141
18,辽宁,大连海事大学,0,1,1,10151
23,吉林,延边大学,0,1,1,10184
17,河北,燕山大学,0,0,0,10216
12,黑龙江,东北农业大学,0,1,1,10224
12,黑龙江,东北林业大学,0,1,1,10225
9,上海,复旦大学,1,1,1,10246
9,上海,同济大学,1,1,1,10247
9,上海,上海交通大学,1,1,1,10248
9,上海,华东理工大学,0,1,1,10251
9,上海,东华大学,0,1,1,10255
9,上海,华东师范大学,1,1,1,10269
9,上海,上海师范大学,0,0,0,10270
9,上海,上海外国语大学,0,1,1,10271
9,上海,华东政法大学,0,0,0,10276
9,上海,上海大学,0,1,1,10280
4,江苏,南京大学,1,1,1,10284
4,江苏,东南大学,1,1,1,10286
4,江苏,南京航空航天大学,0,1,1,10287
4,江苏,南京工业大学,0,0,0,10291
4,江苏,河海大学,0,1,1,10294
4,江苏,江南大学,0,1,1,10295
4,江苏,南通大学,0,0,0,10304
4,江苏,南京师范大学,0,1,1,10319
4,江苏,南京财经大学,0,0,0,10327
13,浙江,杭州电子科技大学,0,0,0,10336
13,浙江,浙江理工大学,0,0,0,10338
28,安徽,安徽大学,0,1,1,10357
28,安徽,合肥工业大学,0,1,1,10359
19,福建,厦门大学,1,1,1,10384
19,福建,华侨大学,0,0,0,10385
19,福建,福州大学,0,1,1,10386
19,福建,福建农林大学,0,0,0,10389
11,江西,南昌大学,0,1,1,10403
1,河南,郑州大学,0,1,1,10459
21,湖北,武汉大学,1,1,1,10486
21,湖北,华中科技大学,1,1,1,10487
21,湖北,武汉科技大学,0,0,0,10488
21,湖北,中国地质大学（武汉）,0,1,1,10491
21,湖北,华中农业大学,0,1,1,10504
21,湖北,华中师范大学,0,1,1,10511
21,湖北,湖北大学,0,0,0,10512
22,湖南,湖南大学,1,1,1,10532
22,湖南,中南大学,1,1,1,10533
22,湖南,湖南师范大学,0,1,1,10542
24,广东,华南理工大学,1,1,1,10561
29,广西,广西大学,0,1,1,10593
33,四川,四川大学,1,1,1,10610
33,四川,四川农业大学,0,1,1,10626
27,重庆,西南大学,0,1,1,10635
33,四川,西南财经大学,0,1,1,10651
14,贵州,贵州大学,0,1,1,10657
5,陕西,西北大学,0,1,1,10697
5,陕西,西安电子科技大学,0,1,1,10701
5,陕西,长安大学,0,1,1,10710
30,甘肃,兰州大学,1,1,1,10730
20,新疆,新疆大学,0,1,1,10755
20,新疆,石河子大学,0,1,1,10759
16,山东,青岛大学,0,0,0,11065
24,广东,广州大学,0,0,0,11078
25,北京,中国矿业大学（北京）,0,1,1,11413
25,北京,中国地质大学（北京）,0,1,1,11415
25,北京,北京联合大学,0,0,0,11417
9,上海,复旦大学医学部,1,1,1,20000
27,重庆,重庆大学,1,1,1,106111
28,安徽,中国科学技术大学,1,1,1,10358
13,浙江,浙江工业大学,0,0,0,10337
23,吉林,吉林大学,1,1,1,10183
4,江苏,南京农业大学,1,1,1,10307
4,江苏,苏州大学,0,1,1,10285
33,四川,西南交通大学,1,1,1,10613
