一级学科(两位代码是学科门类，四位是一级学科),
1,哲学
101,哲学
2,经济学
201,理论经济学
202,应用经济学
3,法学
301,法学
302,政治学
303,社会学
304,民族学
305,马克思主义理论
306,公安学
4,教育学
401,教育学
402,心理学
403,体育学
5,文学
501,中国语言文学
502,外国语言文学
503,新闻传播学
6,历史学
601,考古学
602,中国史
603,世界史
7,理学
701,数学
702,物理学
703,化学
704,天文学
705,地理学
706,大气科学
707,海洋科学
708,地球物理学
709,地质学
710,生物学
711,系统科学
712,科学技术史
713,生态学
714,统计学
8,工学
801,力学
802,机械工程
803,光学工程
804,仪器科学与技术
805,材料科学与工程
806,冶金工程
807,动力工程及工程热物理
808,电气工程
809,电子科学与技术
810,信息与通讯工程
811,控制科学与工程
812,计算机科学与技术
813,建筑学
814,土木工程
815,水利工程
816,测绘科学与技术
817,化学工程与技术
818,地质资源与地质工程
819,矿业工程
820,石油与天然气工程
821,纺织科学与工程
822,轻工技术与工程
823,交通运输工程
824,船舶与海洋工程
825,航空宇航科学与技术
826,兵器科学与技术
827,核科学与技术
828,农业工程
829,林业工程
830,环境科学与工程
831,生物医学工程
832,食品科学与工程
833,城乡规划学
834,风景园林学
835,软件工程
836,生物工程
837,安全科学与工程
838,公安技术
9,农学
901,作物学
902,园艺学
903,农业资源与环境
904,植物保护
905,畜牧学
906,兽医学
907,林学
908,水产
909,草学
10,医学
1001,基础医学
1002,临床医学
1003,口腔医学
1004,公共卫生与预防医学
1005,中医学
1006,中西医结合
1007,药学
1008,中药学
1009,特种医学
1010,医学技术
1011,护理学
11,军事学
1101,军事思想及军事历史
1102,战略学
1103,战役学
1104,战术学
1105,军队指挥学
1106,军制学
1107,军队政治工作学
1108,军事后勤学
1109,军事装备学
1110,军事训练学
12,管理学
1201,管理科学与工程
1202,工商管理
1203,农林经济管理
1204,公共管理
1205,图书情报与档案管理
13,艺术学
1301,艺术学理论
1302,音乐与舞蹈学
1303,戏剧与影视学
1304,美术学
1305,设计学
