:START_ID,has,:END_ID,:TYPE
c10003,has,m0,HAS
c10003,has,m1,HAS
c10003,has,m2,HAS
c10003,has,m3,HAS
c10003,has,m4,HAS
c10003,has,m5,HAS
c10003,has,m6,HAS
c10003,has,m7,HAS
c10003,has,m8,HAS
c10003,has,m9,HAS
c10003,has,m10,HAS
c10003,has,m11,HAS
c10003,has,m12,HAS
c10003,has,m13,HAS
c10003,has,m14,HAS
c10003,has,m15,HAS
c10003,has,m16,HAS
c10003,has,m17,HAS
c10003,has,m18,HAS
c10003,has,m19,HAS
c10003,has,m20,HAS
c10003,has,m21,HAS
c10003,has,m22,HAS
c10003,has,m23,HAS
c10003,has,m24,HAS
c10003,has,m25,HAS
c10003,has,m26,HAS
c10003,has,m27,HAS
c10003,has,m28,HAS
c10003,has,m29,HAS
c10003,has,m30,HAS
c10003,has,m31,HAS
c10003,has,m32,HAS
c10003,has,m33,HAS
c10003,has,m34,HAS
c10003,has,m35,HAS
c10003,has,m36,HAS
c10003,has,m37,HAS
c10003,has,m38,HAS
c10003,has,m39,HAS
c10003,has,m40,HAS
c10003,has,m41,HAS
c10003,has,m42,HAS
c10003,has,m43,HAS
c10003,has,m44,HAS
c10003,has,m45,HAS
c10003,has,m46,HAS
c10003,has,m47,HAS
c10003,has,m48,HAS
c10003,has,m49,HAS
c10003,has,m50,HAS
c10003,has,m51,HAS
c10003,has,m52,HAS
c10003,has,m53,HAS
c10003,has,m54,HAS
c10003,has,m55,HAS
c10003,has,m56,HAS
c10003,has,m57,HAS
c10003,has,m58,HAS
c10003,has,m59,HAS
c10003,has,m60,HAS
c10003,has,m61,HAS
c10003,has,m62,HAS
c10003,has,m63,HAS
c10003,has,m64,HAS
c10003,has,m65,HAS
c10003,has,m66,HAS
c10003,has,m67,HAS
c10003,has,m68,HAS
c10003,has,m69,HAS
c10003,has,m70,HAS
c10003,has,m71,HAS
c10003,has,m72,HAS
c10003,has,m73,HAS
c10003,has,m74,HAS
c10003,has,m75,HAS
c10003,has,m76,HAS
c10003,has,m77,HAS
c10003,has,m78,HAS
c10003,has,m79,HAS
c10003,has,m80,HAS
c10003,has,m81,HAS
c10003,has,m82,HAS
c10003,has,m83,HAS
c10003,has,m84,HAS
c10003,has,m85,HAS
c10003,has,m86,HAS
c10003,has,m87,HAS
c10003,has,m88,HAS
c10003,has,m89,HAS
c10003,has,m90,HAS
c10003,has,m91,HAS
c10003,has,m92,HAS
c10003,has,m93,HAS
c10003,has,m94,HAS
c10003,has,m95,HAS
c10003,has,m96,HAS
c10003,has,m97,HAS
c10003,has,m98,HAS
c10003,has,m99,HAS
c10003,has,m100,HAS
c10003,has,m101,HAS
c10003,has,m102,HAS
c10003,has,m103,HAS
c10003,has,m104,HAS
c10003,has,m105,HAS
c10003,has,m106,HAS
c10003,has,m107,HAS
c10003,has,m108,HAS
c10003,has,m109,HAS
c10003,has,m110,HAS
c10003,has,m111,HAS
c10003,has,m112,HAS
c10003,has,m113,HAS
c10003,has,m114,HAS
c10003,has,m115,HAS
c10003,has,m116,HAS
c10003,has,m117,HAS
c10003,has,m118,HAS
c10003,has,m119,HAS
c10003,has,m120,HAS
c10003,has,m121,HAS
c10003,has,m122,HAS
c10003,has,m123,HAS
c10003,has,m124,HAS
c10003,has,m125,HAS
c10003,has,m126,HAS
c10003,has,m127,HAS
c10003,has,m128,HAS
c10003,has,m129,HAS
c10003,has,m130,HAS
c10003,has,m131,HAS
c10003,has,m132,HAS
c10003,has,m133,HAS
c10003,has,m134,HAS
c10003,has,m135,HAS
c10003,has,m136,HAS
c10003,has,m137,HAS
c10003,has,m138,HAS
c10003,has,m139,HAS
c10003,has,m140,HAS
c10003,has,m141,HAS
c10003,has,m142,HAS
c10003,has,m143,HAS
c10003,has,m144,HAS
c10003,has,m145,HAS
c10003,has,m146,HAS
c10003,has,m147,HAS
c10003,has,m148,HAS
c10003,has,m149,HAS
