major (origin),major2 (disambiguated)
all,all
All,all
人力资源管理,企业管理（含：财务管理、市场营销、人力资源管理）
人力资源管理（人力资源管理、公共事业管理）,企业管理（含：财务管理、市场营销、人力资源管理）
人力资源管理（含公共事业管理专业、人力资源管理专业）,企业管理（含：财务管理、市场营销、人力资源管理）
人力资源管理（国家专项）,企业管理（含：财务管理、市场营销、人力资源管理）
人力资源管理科,企业管理（含：财务管理、市场营销、人力资源管理）
人工智能,计算机科学与技术
人文地理与城乡规划,人文地理学
人文地理与城乡规划（汉）,人文地理学
人文地理与城乡规划(单列),人文地理学
人文地理与城乡规划(南疆单列),人文地理学
人文地理与城乡规划（藏）,人文地理学
人文社科类,文科实验班
人文科地理科与城乡规划,人文地理学
人文科学试验班,文科实验班
人文科学试验班(人文艺术传播类),广播电视艺术学
人文科学试验班（可选专业：汉语言文学、历史、哲学）,文科实验班
人文科学试验班（可选专业：汉语言文学、历史学、哲学）,文科实验班
人文科学试验班（汉语言文学、历史学、哲学、法学）,文科实验班
人文科学试验班（民考汉）,民俗学（含：中国民间文学）
人文科学试验班(弘毅学堂),人文科学试验班(弘毅学堂)
人文科学试验班（国学方向）,文科实验班
人文科学试验班（国家专项）,文科实验班
儿科学,儿科学
儿科学(五年),儿科学
儿科学（五年制）,儿科学
力学类(茅以升学院),力学类(茅以升学院)
土木工程,土木工程
土木工程 ,土木工程
土木工程（/普通类）,土木工程
土木工程(专项理）,土木工程
土木工程（中外合作）,土木工程
土木工程(中外合作),土木工程
土木工程（中外合作办学 中加）,土木工程
土木工程（中外合作办学）,土木工程
土木工程（公路与桥梁）,桥梁与隧道工程
土木工程（双语类）,土木工程
土木工程（汉）,土木工程
土木工程（含国际班）,土木工程
土木工程（卓越计划实验班）,土木工程
土木工程（国防生）,土木工程
土木工程（国家贫困专项）,土木工程
土木工程（单列）,土木工程
土木工程（单列类）,土木工程
土木工程(定向)（单列）,土木工程
土木工程(城市地下空间),土木工程
土木工程（城市地下空间）,土木工程
土木工程（普通类）,土木工程
土木工程（藏）,土木工程
土木工程【土木工程、土木工程（国际班）】,土木工程
土木类,土木工程
土木类(土木工程、建筑环境与能源应用工程、给排水科学与工程),土木工程
土木类（土木工程、建筑环境与能源应用工程、给排水科学与工程）,土木工程
土木类(中外合作办学),土木工程
土木类(茅以升学院),土木类(茅以升学院)
土木类（国家专项计划）,土木工程
土木类（高校专项）,土木工程
土地资源管理,土地资源管理
土地资源管理（提前批）,土地资源管理
土地资源管理科,土地资源管理
土地整治工程,土木工程
土地整治工程（提前批）,土木工程
工业工程,轻工技术与工程
工业工程(工业技术管理方向),轻工技术与工程
工业工程（工业技术管理方向）,轻工技术与工程
工业工程（双语类）,轻工技术与工程
工业工程（招考方向:工业技术管理方向）,轻工技术与工程
工业工程（单列）,轻工技术与工程
工业工程（普通类）,轻工技术与工程
工业工程类,轻工技术与工程
工业工程类（中外合作办学）,轻工技术与工程
工业工程类（管理学Ⅰ）,轻工技术与工程
工业设计,轻工技术与工程
工业设计(双语类),轻工技术与工程
工业设计（单列）,轻工技术与工程
工业设计（普通类）,轻工技术与工程
工科试验班,工科实验班
工科试验班(土木与环境类),环境科学与工程
工科试验班（大数据技术）,计算机科学与技术
工科试验班（电子类）,机械电子工程
工科试验班（电气类）,电气工程
工科试验班（生工高精尖班）,生物化工
工科试验班(弘毅学堂),工科试验班(弘毅学堂)
工科试验班(动力与机械类),动力机械及工程
工科试验班(动力装备与安全),动力机械及工程
工科试验班（地质与水利工程类）,地质资源与地质工程
工科试验班（机械类）,机械工程
工科试验班（机械类）（汉）,机械工程
工科试验班（轨道交通）,交通运输工程
工科试验班（交通类）,交通运输工程
工科试验班（环境类）,环境科学与工程
工科试验班（矿业与安全类）,矿业工程
工科试验班(建筑城规景观与设计类),城市规划与设计(含∶风景园林规划与设计)
工科试验班（城市建设类）,城市规划与设计(含∶风景园林规划与设计)
工科试验班(信息类),信息与通讯工程
工科试验班(信息类)(少),信息与通讯工程
工科试验班(信息类)(汉),信息与通讯工程
工科试验班（高材精英班）,工科实验班
工科试验班（能源类）,工科实验班
工科试验班(绿色化工与生物医药),微生物与生化药学
工科试验班（绿色化工与新能源类）,农业生物环境与能源工程
工科试验班（提前批）,工科实验班
工科试验班(智能化制造类),机械制造及其自动化
工科试验班(智能交通与车辆类),机械制造及其自动化
工科试验班(智能交通与车辆类)(少),机械制造及其自动化
工科试验班(智能交通与车辆类)(汉),机械制造及其自动化
工科试验班类（医工交叉试验班）,工科实验班
工科试验班类(医工交叉试验班),工科实验班
工科试验班类(卓越计划),工科实验班
工科试验班类(国际通用工程学院),工科实验班
工科试验班类（国际通用工程学院）,工科实验班
工科试验班类(信息类),信息与通讯工程
工科试验班类（信息类）,信息与通讯工程
工科试验班类（航空航天类）,航空宇航制造工程
工科试验班类(航空航天类),航空宇航制造工程
工商管理,工商管理
工商管理  (  中小企业管理  ),工商管理
工商管理（五年）,工商管理
工商管理（中外合作办学）,工商管理
工商管理(中外合作办学),工商管理
工商管理(中法创新实验班),工商管理
工商管理（中法实验班）,工商管理
工商管理(中法实验班),工商管理
工商管理（中美121）,工商管理
工商管理(中美校际交流),工商管理
工商管理（双语实验班）,工商管理
工商管理（双语类）,工商管理
工商管理(双语教学班),工商管理
工商管理（地球科学与商务）,工商管理
工商管理（地球科学与商务方向）,工商管理
工商管理(环境商务),工商管理
工商管理（国际商务管理实验班）,工商管理
工商管理（南疆单列）,工商管理
工商管理（普通类）,工商管理
工商管理[中法创新实验班],工商管理
工商管理科,工商管理
工商管理科类,工商管理
工商管理科类（中美121双学位班，全英文科教学）,工商管理
"工商管理科类(中美联合培养121国际班,全英文科教学)",工商管理
工商管理科类(全英文科教学，中美121双学位班),工商管理
"工商管理科类(会计学全英文科教学,中美联合培养121国际班)",工商管理
"工商管理科类(旅游管理科全英文科教学,中美联合培养121国际班)",工商管理
工商管理科类(酒店管理科专业全英文科教学，中美121双学位班),工商管理
工商管理类,工商管理
工商管理类 ,工商管理
工商管理类（工商学院）,工商管理
工商管理类（工商管理）,工商管理
工商管理类(工商管理、人力资源管理),工商管理
工商管理类(工商管理、人力资源管理、市场营销),企业管理（含：财务管理、市场营销、人力资源管理）
工商管理类(工商管理、市场营销、人力资源管,企业管理（含：财务管理、市场营销、人力资源管理）
