,Unnamed: 0,College,Year,Province,category,Major,score,Ranking
0,265,清华大学,2017,安徽,文科,all,623,223
1,264,清华大学,2017,安徽,理科,all,655,333
2,204,清华大学,2017,北京,文科,all,668,48
3,203,清华大学,2017,北京,理科,all,671,287
4,206,清华大学,2017,福建,文科,all,637,
5,205,清华大学,2017,福建,理科,all,649,1200
6,210,清华大学,2017,广东,文科,all,647,10
7,209,清华大学,2017,广东,理科,all,668,100
8,269,清华大学,2017,广西,文科,all,614,422
9,268,清华大学,2017,广西,理科,all,596,1539
10,271,清华大学,2017,贵州,文科,all,675,49
11,270,清华大学,2017,贵州,理科,all,649,172
12,275,清华大学,2017,河北,文科,all,631,520
13,274,清华大学,2017,河北,理科,all,666,691
14,277,清华大学,2017,河南,文科,all,649,34
15,276,清华大学,2017,河南,理科,all,659,313
16,222,清华大学,2017,黑龙江,文科,all,636,12
17,278,清华大学,2017,黑龙江,理科,all,657,337
18,224,清华大学,2017,湖北,文科,all,662,
19,223,清华大学,2017,湖北,理科,all,678,
20,280,清华大学,2017,湖南,文科,all,656,78
21,279,清华大学,2017,湖南,理科,all,666,188
22,282,清华大学,2017,吉林,文科,all,644,
23,281,清华大学,2017,吉林,理科,all,672,206
24,230,清华大学,2017,江苏,文科,all,419,
25,229,清华大学,2017,江苏,理科,all,413,76
26,234,清华大学,2017,辽宁,文科,all,645,10
27,233,清华大学,2017,辽宁,理科,all,682,60
28,286,清华大学,2017,内蒙古,文科,all,611,
29,285,清华大学,2017,内蒙古,理科,all,668,120
30,288,清华大学,2017,宁夏,文科,all,642,
31,287,清华大学,2017,宁夏,理科,all,645,
32,290,清华大学,2017,青海,文科,all,573,66
33,289,清华大学,2017,青海,理科,all,608,108
34,242,清华大学,2017,山东,文科,all,662,
35,241,清华大学,2017,山东,理科,all,684,132
36,244,清华大学,2017,山西,文科,all,645,
37,243,清华大学,2017,山西,理科,all,646,73
38,247,清华大学,2017,上海,理科,all,603,55
39,263,清华大学,2017,上海,不分文理,all,605,
40,294,清华大学,2017,四川,文科,all,621,382
41,293,清华大学,2017,四川,理科,all,658,1105
42,252,清华大学,2017,天津,文科,all,665,
43,251,清华大学,2017,天津,理科,all,685,46
44,300,清华大学,2017,云南,文科,all,652,
45,299,清华大学,2017,云南,理科,all,672,
46,257,清华大学,2017,浙江,理科,all,698,
47,302,清华大学,2017,重庆,文科,all,647,
48,301,清华大学,2017,重庆,理科,all,681,93
49,273,清华大学,2017,海南,文科,all,781,
50,272,清华大学,2017,海南,理科,all,808,
51,298,清华大学,2017,新疆,文科,all,622,
52,297,清华大学,2017,新疆,理科,all,632,
53,435,北京大学,2017,安徽,文科,all,643,29
54,436,北京大学,2017,安徽,理科,all,677,47
55,417,北京大学,2017,北京,文科,all,660,100
56,418,北京大学,2017,北京,理科,all,671,287
57,437,北京大学,2017,福建,文科,all,627,
58,438,北京大学,2017,福建,理科,all,651,1071
59,449,北京大学,2017,广东,文科,all,640,28
60,450,北京大学,2017,广东,理科,all,671,79
61,451,北京大学,2017,广西,文科,all,658,
62,452,北京大学,2017,广西,理科,all,670,
63,459,北京大学,2017,贵州,文科,all,683,22
64,460,北京大学,2017,贵州,理科,all,669,48
65,421,北京大学,2017,河北,文科,all,664,28
66,422,北京大学,2017,河北,理科,all,693,48
67,443,北京大学,2017,河南,文科,all,647,44
68,444,北京大学,2017,河南,理科,all,672,103
69,431,北京大学,2017,黑龙江,文科,all,633,16
70,432,北京大学,2017,黑龙江,理科,all,680,47
71,445,北京大学,2017,湖北,文科,all,658,18
72,446,北京大学,2017,湖北,理科,all,684,
73,447,北京大学,2017,湖南,文科,all,666,32
74,448,北京大学,2017,湖南,理科,all,674,92
75,429,北京大学,2017,吉林,文科,all,640,
76,430,北京大学,2017,吉林,理科,all,670,234
77,433,北京大学,2017,江苏,文科,all,405,34
78,434,北京大学,2017,江苏,理科,all,415,55
79,427,北京大学,2017,辽宁,文科,all,638,28
80,428,北京大学,2017,辽宁,理科,all,682,60
81,469,北京大学,2017,宁夏,文科,all,645,
82,470,北京大学,2017,宁夏,理科,all,650,
83,467,北京大学,2017,青海,文科,all,608,8
84,468,北京大学,2017,青海,理科,all,639,19
